BlockId;Coordinates;cv_cox_avg;cv_centurylink_avg;cv_cox_dict;cv_centurylink_dict
40136103001026;[[33.849084, -112.126344], [33.848827, -112.127334], [33.848818, -112.127366], [33.848777, -112.12745699999999], [33.848741, -112.12751], [33.848698999999996, -112.127557], [33.848321999999996, -112.127854], [33.847969, -112.128142], [33.847845, -112.128266], [33.847755, -112.128376], [33.847615, -112.128599], [33.847529, -112.128749], [33.847978999999995, -112.12909], [33.848079, -112.129177], [33.848168, -112.129266], [33.848348, -112.129027], [33.848524999999995, -112.128805], [33.848589, -112.128743], [33.848675, -112.12868], [33.848943, -112.128532], [33.849258999999996, -112.128355], [33.849362, -112.128269], [33.849425, -112.128199], [33.849477, -112.128115], [33.849515, -112.128019], [33.849537999999995, -112.127922], [33.84955, -112.12783400000001], [33.849568, -112.12780000000001], [33.849584, -112.127785], [33.849606, -112.127781], [33.849634, -112.127792], [33.849686, -112.127809], [33.849871, -112.127805], [33.850342999999995, -112.127773], [33.850839, -112.127739], [33.850913999999996, -112.127742], [33.850988, -112.127752], [33.851271, -112.127811], [33.851953, -112.127955], [33.851988999999996, -112.12798], [33.852013, -112.128011], [33.852028, -112.128047], [33.852031, -112.128063], [33.852031, -112.128118], [33.852015, -112.128167], [33.851956, -112.128522], [33.851904, -112.128739], [33.851856999999995, -112.128894], [33.85179, -112.129077], [33.851647, -112.129458], [33.85152, -112.129741], [33.851479, -112.129805], [33.85141, -112.129885], [33.851357, -112.12993], [33.851271, -112.129983], [33.851178, -112.130016], [33.851110999999996, -112.130027], [33.851025, -112.130027], [33.85094, -112.130011], [33.850854, -112.129976], [33.850576, -112.129799], [33.850536, -112.12988899999999], [33.850488, -112.130015], [33.850457999999996, -112.130117], [33.850426999999996, -112.130281], [33.850417, -112.130392], [33.850417, -112.13056], [33.850428, -112.130674], [33.851444, -112.130638], [33.851571, -112.130651], [33.851802, -112.130719], [33.851842, -112.13053], [33.8519, -112.130316], [33.851982, -112.130067], [33.852046, -112.129896], [33.852195, -112.12951699999999], [33.852333, -112.129135], [33.852421, -112.128867], [33.852511, -112.128545], [33.852593999999996, -112.128184], [33.852649, -112.127868], [33.852679, -112.127641], [33.852689, -112.12755], [33.852712, -112.127237], [33.852719, -112.126971], [33.852713, -112.126666], [33.852694, -112.12634], [33.852658, -112.12598], [33.852601, -112.125578], [33.852565999999996, -112.125363], [33.852258, -112.125433], [33.852039999999995, -112.125467], [33.85182, -112.125482], [33.851195, -112.12552], [33.850919999999995, -112.125535], [33.850805, -112.125551], [33.850608, -112.125603], [33.850359, -112.125689], [33.850296, -112.12570000000001], [33.850228, -112.12568999999999], [33.850184999999996, -112.125671], [33.850145999999995, -112.125644], [33.850111999999996, -112.125938], [33.850097999999996, -112.126191], [33.850103, -112.126283], [33.850122, -112.126382], [33.850163, -112.126499], [33.850164, -112.126535], [33.850152, -112.12656799999999], [33.850141, -112.126583], [33.850122, -112.126597], [33.850092, -112.126605], [33.850042, -112.126591], [33.850004999999996, -112.12659], [33.849781, -112.126629], [33.849708, -112.126638], [33.849599, -112.126638], [33.849539, -112.126623], [33.849453, -112.126586], [33.849373, -112.126537], [33.849084, -112.126344]];4.778333333333326;8.51222222222223;{"5.64": 61, "0.0": 11};{"9.23": 66, "2.0": 1, "0.7": 1, "0.0": 3, "1.0": 1}
40131097042010;[[33.492101999999996, -112.220692], [33.492103, -112.221113], [33.492097, -112.221682], [33.492084999999996, -112.222022], [33.492067, -112.222307], [33.492033, -112.22265], [33.491949999999996, -112.223226], [33.491886, -112.223574], [33.49181, -112.223919], [33.491715, -112.224289], [33.49161, -112.224654], [33.492256999999995, -112.224941], [33.492396, -112.224457], [33.492452, -112.224234], [33.492559, -112.223741], [33.49261, -112.22348099999999], [33.492674, -112.223084], [33.492714, -112.222786], [33.492725, -112.222712], [33.492781, -112.221904], [33.492796999999996, -112.220809], [33.492784, -112.220763], [33.492765999999996, -112.220731], [33.49273, -112.220699], [33.492694, -112.220687], [33.492101999999996, -112.220692]];3.679393939393938;0.03000000000000002;{"4.05": 28, "0.0": 3, "4.01": 2};{"0.03": 33}
40130820082002;[[33.503543, -112.240389], [33.503203, -112.240734], [33.503251999999996, -112.240804], [33.503665999999996, -112.241394], [33.503774, -112.241535], [33.503828999999996, -112.241579], [33.50387, -112.241601], [33.503918, -112.241614], [33.503983999999996, -112.241617], [33.505375, -112.241611], [33.505401, -112.241063], [33.505496, -112.240705], [33.505482, -112.240674], [33.505477, -112.240627], [33.505477, -112.240316], [33.505108, -112.240315], [33.504959, -112.240304], [33.504714, -112.240256], [33.504678999999996, -112.240238], [33.504647, -112.240205], [33.504624, -112.240162], [33.504613, -112.24011], [33.504619, -112.24005700000001], [33.504711, -112.239767], [33.504742, -112.239634], [33.504762, -112.23947], [33.504765, -112.239361], [33.504757999999995, -112.238775], [33.50403, -112.238775], [33.504033, -112.239149], [33.504017999999995, -112.239343], [33.503988, -112.239532], [33.503946, -112.239696], [33.503889, -112.239862], [33.503820999999995, -112.240008], [33.50374, -112.24014700000001], [33.503647, -112.240274], [33.503543, -112.240389]];3.951219512195123;0.18073170731707325;{"4.05": 40, "0.0": 1};{"0.2": 37, "0.0": 3, "0.01": 1}
40130820083005;[[33.508628, -112.2377], [33.507095, -112.237711], [33.506653, -112.237715], [33.50618, -112.237722], [33.506184999999995, -112.238328], [33.506802, -112.238328], [33.506839, -112.238337], [33.506869, -112.23836], [33.506892, -112.238392], [33.506906, -112.238443], [33.506904999999996, -112.240754], [33.508151999999995, -112.240748], [33.508181, -112.240759], [33.508193999999996, -112.240768], [33.508215, -112.240794], [33.508232, -112.240837], [33.508235, -112.241169], [33.50862, -112.241171], [33.508628, -112.2377]];3.6429999999999985;0.19150000000000006;{"4.05": 17, "4.01": 1, "0.0": 2};{"0.2": 19, "0.03": 1}
40131096011024;[[33.504722, -112.22957], [33.50405, -112.229581], [33.504044, -112.230091], [33.504016, -112.231743], [33.504689, -112.23174], [33.504711, -112.230465], [33.504722, -112.22957]];3.5735294117647047;0.030000000000000013;{"4.05": 15, "0.0": 2};{"0.03": 17}
40130820022017;[[33.493947999999996, -112.272647], [33.493856, -112.272646], [33.493826999999996, -112.277241], [33.495703999999996, -112.277256], [33.495947, -112.277258], [33.495965, -112.274804], [33.495976999999996, -112.274767], [33.496, -112.274736], [33.496035, -112.274715], [33.496055, -112.274712], [33.496656, -112.274719], [33.497338, -112.274728], [33.497672, -112.274732], [33.496668, -112.272719], [33.493946, -112.272731], [33.493947999999996, -112.272647]];3.8289189189189186;0.05837837837837842;{"4.05": 33, "0.0": 2, "4.01": 2};{"0.06": 36, "0.0": 1}
40131097012021;[[33.485653, -112.207524], [33.486094, -112.208793], [33.486112, -112.208848], [33.486168, -112.209058], [33.48619, -112.209172], [33.48621, -112.209349], [33.486221, -112.209587], [33.486551, -112.209587], [33.486511, -112.209186], [33.486421, -112.208248], [33.486424, -112.208229], [33.486438, -112.208197], [33.486457, -112.20818], [33.486632, -112.208095], [33.48668, -112.208085], [33.486922, -112.208045], [33.486942, -112.208054], [33.486953, -112.208067], [33.487128999999996, -112.208486], [33.487136, -112.208512], [33.487176999999996, -112.208819], [33.487181, -112.208904], [33.487169, -112.208969], [33.48753, -112.208957], [33.487519999999996, -112.20872299999999], [33.487497999999995, -112.208538], [33.487473, -112.208396], [33.487428, -112.208238], [33.487366, -112.208071], [33.487249, -112.207826], [33.487122, -112.207583], [33.487088, -112.207522], [33.487046, -112.207449], [33.487004, -112.207347], [33.486956, -112.207201], [33.486900999999996, -112.206972], [33.486886, -112.206889], [33.486716, -112.206902], [33.486554, -112.206895], [33.486444999999996, -112.206878], [33.486266, -112.206831], [33.4861, -112.206766], [33.485993, -112.206712], [33.485800999999995, -112.207202], [33.485741, -112.207337], [33.485706, -112.207419], [33.485653, -112.207524]];3.86888888888889;0.23703703703703707;{"4.05": 5, "0.0": 1, "4.01": 21};{"0.2": 17, "0.3": 4, "0.0": 2, "0.45": 4}
40131123021008;[[33.47513, -112.165126], [33.475128999999995, -112.165628], [33.475133, -112.165744], [33.475127, -112.165945], [33.475125, -112.165985], [33.475102, -112.166175], [33.47506, -112.166382], [33.475018, -112.166535], [33.474981, -112.166697], [33.474956999999996, -112.166884], [33.474947, -112.167024], [33.474947, -112.167212], [33.475629999999995, -112.167206], [33.475626999999996, -112.16707099999999], [33.475637, -112.166958], [33.475651, -112.166865], [33.475733, -112.166544], [33.475764999999996, -112.166378], [33.475798999999995, -112.16614], [33.475809999999996, -112.165961], [33.475811, -112.165122], [33.47513, -112.165126]];4.049999999999999;0.18823529411764708;{"4.05": 17};{"0.2": 16, "0.0": 1}
40131099004007;[[33.486669, -112.172324], [33.486647999999995, -112.172333], [33.486556, -112.172328], [33.48635, -112.172322], [33.486137, -112.172329], [33.485887, -112.172355], [33.485648999999995, -112.172397], [33.485391, -112.172463], [33.485213, -112.172522], [33.484983, -112.172613], [33.484733999999996, -112.172735], [33.484572, -112.172826], [33.484871999999996, -112.173561], [33.485076, -112.173455], [33.485287, -112.173359], [33.485484, -112.173287], [33.485698, -112.173227], [33.485934, -112.173181], [33.486188, -112.173153], [33.486367, -112.173146], [33.487418999999996, -112.173166], [33.487448, -112.171524], [33.486722, -112.17151], [33.486703999999996, -112.172265], [33.486692999999995, -112.172298], [33.486669, -112.172324]];4.6675862068965515;9.229999999999997;{"0.0": 5, "5.64": 24};{"9.23": 29}
40131099003002;[[33.486374999999995, -112.182925], [33.486376, -112.183135], [33.486367, -112.18337], [33.48634, -112.183638], [33.4863, -112.183888], [33.486238, -112.184161], [33.486075, -112.184719], [33.486027, -112.184909], [33.485977999999996, -112.185171], [33.485945, -112.185433], [33.485929999999996, -112.185665], [33.485926, -112.186248], [33.486613999999996, -112.186251], [33.486615, -112.185746], [33.486621, -112.18563], [33.486638, -112.185459], [33.48668, -112.185185], [33.486739, -112.184932], [33.486813999999995, -112.184699], [33.48688, -112.184466], [33.486959, -112.184134], [33.487004999999996, -112.183872], [33.487035999999996, -112.183633], [33.48706, -112.183296], [33.487065, -112.183008], [33.487055999999995, -112.182973], [33.487043, -112.182952], [33.487031, -112.182939], [33.487001, -112.182923], [33.486374999999995, -112.182925]];5.287499999999997;8.941562499999998;{"5.64": 30, "0.0": 2};{"9.23": 31, "0.0": 1}
